date,sku_id,category,sales,oos_loss_share,promo_flag,promo_type,base_price,final_price,temperature,precipitation,holiday_flag,days_to_holiday,days_from_holiday,holiday_name
2022-01-01,Beverages_SKU_001,Beverages,1614.91,0.0,0,None,4.25,4.25,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_002,Beverages,1096.94,0.266,0,None,6.39,6.39,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_003,Beverages,1145.64,0.0,0,None,2.94,2.94,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_004,Beverages,1529.77,0.0,0,None,2.35,2.35,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_005,Beverages,1490.92,0.0,0,None,5.61,5.61,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_006,Beverages,3068.53,0.0,1,Discount,2.12,1.7,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_007,Beverages,2030.04,0.0,1,Bundle,6.99,5.14,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_008,Beverages,505.24,0.379,0,None,3.09,3.09,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_009,Beverages,1344.68,0.0,0,None,3.83,3.83,23.4,0.0,1,0,0,New_Year
2022-01-01,Beverages_SKU_010,Beverages,2060.7,0.0,1,Discount,4.59,3.09,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_001,Frozen_Foods,939.54,0.0,0,None,8.51,8.51,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_002,Frozen_Foods,1274.16,0.0,0,None,5.63,5.63,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_003,Frozen_Foods,1777.86,0.0,0,None,7.1,7.1,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_004,Frozen_Foods,1368.52,0.0,0,None,4.8,4.8,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_005,Frozen_Foods,1975.14,0.009,1,Discount,8.33,5.46,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_006,Frozen_Foods,1000.7,0.0,0,None,8.47,8.47,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_007,Frozen_Foods,1989.09,0.0,0,None,3.59,3.59,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_008,Frozen_Foods,1414.49,0.0,0,None,11.69,11.69,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_009,Frozen_Foods,1407.29,0.364,1,BOGO,5.74,2.87,23.4,0.0,1,0,0,New_Year
2022-01-01,Frozen_Foods_SKU_010,Frozen_Foods,1478.7,0.0,0,None,9.16,9.16,23.4,0.0,1,0,0,New_Year
2022-01-01,Bakery_SKU_001,Bakery,1689.61,0.0,0,None,3.42,3.42,23.4,0.0,1,0,0,New_Year
2022-01-01,Bakery_SKU_002,Bakery,2173.16,0.0,0,None,2.76,2.76,23.4,0.0,1,0,0,New_Year
2022-01-01,Bakery_SKU_003,Bakery,2152.72,0.0,0,None,4.44,4.44,23.4,0.0,1,0,0,New_Year
